Updated: Fri Jun 23 01:31:46 CDT 2023
Username           GB Used            Files Used
100302928          0                  2
100361352          0                  85
100428231          0                  139
100435793          0                  18
100518086          0                  1
100527368          0                  6
100549914          0                  1
100605206          0                  1
8306               0                  1
a124h117           0                  1
aezshort           0                  1
b809a050           0                  2
c721s275           0                  1
c734e128           0                  2
jensen             0                  1
k057p325           0                  1
k478t890           0                  1
k756m211           0                  1
k917r540           0                  104
k947c454           0                  1
m525g908           0                  2
moyle              0                  8
mtholder           0                  1
p470d241           0                  134
p953c068           0                  1
r011g326           0                  1
r557e636           0                  10
root               0                  9
vieglais           0                  1
w423f654           0                  1
w650s609           0                  1
159799             1                  20
r768n055           5                  41732
100356371          7                  5030
d711r320           8                  117
100395100          13                 708
e059n789           13                 43
jkarch             17                 144402
b686w673           19                 204
j306c371           19                 195035
100393729          27                 401052
trunks18           30                 233168
100385527          32                 321359
h690s403           38                 285
m538c005           45                 2798
c111h652           49                 200475
c889s469           61                 850
r110a449           97                 6202
c361n270           116                219
144363             118                788
12079              120                5831
c378m666           166                4061
100435315          247                273182
m060h638           275                259051
memort             283                2550
a619f280           284                8119
k817a873           305                317
100371065          390                219812
100426917          595                3696
d076r852           696                896
100232507          903                1447913
p633h050           1028               1403137
e001o910           1322               2993077
s953b810           1855               323174
p653w640           2154               973
l944d476           2395               261388
j141c380           2521               68489
f585m208           5156               417592
d669d153           6430               1569617
